t,vm
6.305,18.251
6.308,18.248
6.311,18.245
6.315,18.342
6.322,18.334
6.330,18.327
6.338,18.320
6.346,18.413
6.347,18.412
6.348,18.411
6.350,18.409
6.351,18.508
6.362,18.498
6.372,18.489
6.383,18.479
6.393,18.569
6.395,18.567
6.397,18.566
6.399,18.564
6.401,18.662
6.417,18.647
6.432,18.633
6.448,18.618
6.464,18.703
6.467,18.700
6.470,18.697
6.474,18.694
6.477,18.791
6.483,18.785
6.489,18.780
6.495,18.774
6.502,18.868
6.502,18.867
6.503,18.866
6.504,18.866
6.505,18.965
6.512,18.959
6.518,18.952
6.525,18.946
6.531,19.040
6.536,19.035
6.542,19.030
6.547,19.025
6.552,19.120
6.553,19.119
6.554,19.118
6.556,19.117
6.557,19.216
6.558,19.215
6.559,19.214
6.560,19.213
6.561,19.312
6.569,19.304
6.577,19.296
6.586,19.288
6.594,19.380
6.601,19.373
6.608,19.366
6.615,19.360
6.621,19.453
6.627,19.448
6.633,19.442
6.638,19.437
6.644,19.531
6.646,19.530
6.647,19.528
6.649,19.527
6.650,19.625
6.651,19.624
6.652,19.623
6.653,19.622
6.654,19.721
6.660,19.715
6.666,19.709
6.673,19.703
6.679,19.797
6.682,19.794
6.685,19.791
6.688,19.788
6.691,19.885
6.700,19.876
6.709,19.867
6.719,19.858
6.728,19.948
6.729,19.947
6.730,19.946
6.731,19.945
6.732,20.044
6.732,10.000
8.732,10.000
8.733,10.000
8.734,9.999
8.735,9.999
8.735,10.098
8.736,10.098
8.737,10.097
8.738,10.097
8.739,10.196
8.743,10.195
8.746,10.193
8.749,10.192
8.752,10.290
8.760,10.286
8.768,10.282
8.775,10.278
8.783,10.374
8.787,10.372
8.791,10.370
8.795,10.368
8.799,10.466
8.800,10.465
8.801,10.465
8.802,10.464
8.803,10.564
8.803,10.564
8.804,10.563
8.805,10.563
8.806,10.662
8.811,10.659
8.816,10.657
8.821,10.654
8.827,10.751
8.831,10.749
8.834,10.747
8.838,10.745
8.842,10.843
8.844,10.842
8.846,10.841
8.848,10.840
8.850,10.939
8.851,10.938
8.852,10.938
8.852,10.937
8.853,11.037
8.854,11.036
8.855,11.036
8.856,11.035
8.857,11.135
8.857,11.134
8.858,11.134
8.859,11.134
8.859,11.233
8.864,11.231
8.868,11.228
8.872,11.226
8.877,11.324
8.877,11.323
8.878,11.323
8.878,11.323
8.879,11.422
8.891,11.416
8.903,11.409
8.915,11.402
8.927,11.495
8.927,11.495
8.928,11.494
8.928,11.494
8.929,11.594
8.937,11.589
8.945,11.585
8.953,11.580
8.961,11.675
8.971,11.669
8.982,11.663
8.992,11.657
9.003,11.751
9.003,11.751
9.004,11.750
9.004,11.750
9.005,11.850
9.008,11.848
9.010,11.846
9.013,11.845
9.016,11.943
9.019,11.941
9.022,11.939
9.026,11.937
9.029,12.035
9.033,12.033
9.037,12.030
9.042,12.028
9.046,12.125
9.052,12.121
9.059,12.117
9.065,12.114
9.071,12.210
9.071,12.210
9.072,12.210
