neuron,t
2368,14.0906
9429,14.0492
5931,14.0642
8105,14.0535
8494,14.0805
9009,14.0512
7539,14.0573
9622,14.047
3158,14.0653
9524,14.0508
3177,14.0986
8307,14.085
7479,14.1105
4887,14.0624
4141,14.0539
3443,14.0693
251,14.0473
8471,14.1158
9835,14.0593
427,14.0581
9116,14.0629
7751,14.0643
8838,14.0805
5112,14.0714
493,14.0727
9414,14.0698
6135,14.0753
6308,14.0989
7680,14.0949
6526,14.07
5711,14.0657
8658,14.1191
680,14.1142
3648,14.0705
7311,14.0691
7076,14.1009
4397,14.0665
5861,14.0768
4967,14.0783
9882,14.0777
9200,14.1117
8334,14.0942
8330,14.1142
8650,14.0765
9109,14.0805
9421,14.0774
8129,14.0796
8421,14.0811
2916,14.0805
5216,14.0771
1596,14.0935
9774,14.0805
6385,14.1234
6117,14.1017
7037,14.0986
907,14.078
7860,14.0961
5932,14.0936
4272,14.1227
1313,14.1245
4605,14.0816
1282,14.1095
6808,14.0875
7214,14.1026
2452,14.0819
1998,14.1109
3053,14.0805
8725,14.1159
8507,14.0986
2161,14.0835
2716,14.0809
9464,14.0986
8884,14.1052
8443,14.1164
7893,14.0809
6906,14.1182
4282,14.0886
1845,14.1144
217,14.0923
3561,14.1516
1452,14.0927
7659,14.0898
1691,14.1003
2898,14.0923
4172,14.1153
8928,14.1159
8184,14.0862
9490,14.0891
8396,14.1553
3954,14.1528
9214,14.1159
8705,14.1221
3574,14.1167
9884,14.0942
888,14.0986
1924,14.1069
3121,14.0986
3460,14.0961
6962,14.1149
2946,14.1162
6741,14.1454
4866,14.1026
2697,14.0986
3454,14.1226
8708,14.1084
8051,14.1124
5334,14.1044
5261,14.109
4926,14.1441
3812,14.1003
2509,14.11
983,14.0987
1603,14.1182
1160,14.1114
2617,14.1359
1431,14.1056
4183,14.1028
8186,14.1159
532,14.151
5875,14.1455
7166,14.1944
4649,14.1352
9276,14.1162
3528,14.1337
8854,14.1113
9240,14.1213
6854,14.1094
2292,14.1194
453,14.1117
6905,14.1698
5449,14.1234
3209,14.1159
7285,14.1978
2387,14.1278
8282,14.1485
6918,14.1208
4262,14.1251
7872,14.1492
3100,14.1159
6340,14.1842
1750,14.1202
2810,14.1292
5885,14.1543
8366,14.1745
7837,14.1186
7782,14.1842
6994,14.1346
5799,14.1578
4766,14.1357
3246,14.1379
322,14.1396
9195,14.1317
424,14.1842
3723,14.1493
6183,14.1374
4544,14.1251
9024,14.1367
8320,14.1422
7669,14.1334
