t,vm
26.289,10.160
26.297,10.255
26.354,10.326
26.363,9.822
26.369,9.919
26.402,9.502
26.404,9.601
26.444,9.682
26.460,9.774
26.468,9.870
26.470,9.969
26.477,9.466
26.535,9.539
26.540,9.836
26.542,9.935
26.552,10.030
26.565,10.124
26.565,10.224
26.586,10.313
26.603,10.404
26.608,10.502
26.608,10.002
26.616,10.098
26.627,10.192
26.633,10.289
26.637,10.387
26.642,10.484
26.650,10.580
26.664,10.673
26.665,10.772
26.677,10.966
26.706,11.050
26.722,11.141
26.726,11.239
26.729,11.437
26.732,11.635
26.748,11.126
26.764,11.217
26.772,11.313
26.784,10.806
26.800,10.897
26.835,10.978
26.851,11.069
26.886,11.150
26.918,11.232
26.918,11.332
26.926,11.528
26.930,11.025
26.937,11.121
26.953,10.612
27.026,10.674
27.060,10.756
27.073,10.249
27.073,10.349
27.088,9.841
27.092,9.939
27.143,10.014
27.151,10.110
27.152,10.209
27.156,10.307
27.173,10.399
27.212,10.478
27.276,10.545
27.284,10.641
27.296,10.734
27.301,10.832
27.314,10.925
27.344,11.008
27.388,11.084
27.523,11.109
27.613,11.160
27.676,10.624
27.736,10.693
27.791,10.763
27.820,10.848
27.878,10.916
27.930,10.988
27.931,11.087
27.962,11.170
28.057,11.217
28.064,10.713
28.074,10.808
28.083,10.303
28.096,10.396
28.107,10.491
28.110,10.589
28.127,10.680
28.184,10.749
28.186,10.249
28.252,9.815
28.327,9.278
28.333,9.375
28.338,9.473
28.357,9.564
28.374,9.656
28.381,9.753
28.419,9.834
28.437,9.925
28.439,10.024
28.470,10.109
28.558,10.164
28.570,10.258
28.596,10.345
28.705,10.388
28.783,10.448
28.812,10.533
28.831,10.623
28.857,10.709
28.897,10.788
28.945,10.862
28.969,10.949
29.008,11.027
29.015,11.124
29.066,11.195
29.072,11.292
29.089,11.383
29.091,11.481
29.092,10.981
29.097,11.078
29.103,11.175
29.122,11.264
29.136,11.356
29.177,11.433
29.205,11.517
29.248,11.592
29.296,11.665
29.339,11.739
29.385,11.813
29.398,11.905
29.402,12.002
29.442,12.079
29.449,12.174
29.470,12.261
29.519,12.331
29.524,12.428
29.524,12.528
29.540,12.618
29.541,12.717
29.552,12.810
29.601,12.879
29.633,12.958
29.637,13.056
29.653,13.146
29.662,13.240
29.662,13.339
29.768,13.369
29.784,13.458
29.796,13.550
29.833,13.626
29.861,13.706
29.865,13.804
29.867,13.902
29.875,13.997
29.897,14.081
29.904,14.177
29.914,14.269
29.919,14.366
29.921,14.465
29.921,14.564
29.936,14.054
29.977,14.125
29.989,14.216
30.014,14.298
30.033,14.385
30.033,14.484
30.043,14.077
30.054,14.169
30.070,13.759
30.073,13.856
30.076,13.354
30.079,13.452
30.088,13.547
30.113,13.030
30.113,13.129
30.116,13.227
30.130,13.318
30.131,13.417
30.131,13.517
30.145,13.608
30.147,13.106
30.150,13.205
30.151,12.704
30.245,12.744
30.279,12.823
30.283,12.920
30.307,13.005
30.326,13.093
30.328,13.191
30.330,13.290
30.346,13.379
30.362,13.469
30.379,13.557
30.390,13.649
30.436,13.718
30.474,13.792
30.490,13.281
30.520,13.361
30.522,12.860
30.539,12.949
30.562,12.434
30.564,12.532
30.568,12.630
30.577,12.724
30.605,12.807
30.615,12.901
30.620,12.997
30.639,13.085
30.725,13.128
30.729,13.226
30.754,13.310
30.834,13.356
30.838,13.453
30.852,12.944
30.866,13.036
30.885,13.123
30.920,13.200
30.929,13.294
30.930,13.393
30.958,13.474
30.962,13.572
31.000,13.646
31.003,13.744
31.025,13.829
31.039,13.920
31.040,14.019
31.053,14.109
31.068,14.199
31.079,14.291
31.085,14.486
31.103,14.674
31.131,14.753
31.133,14.852
31.144,14.944
31.147,15.041
31.166,15.127
31.171,14.623
31.206,14.698
31.217,14.790
31.218,14.889
31.227,14.982
31.235,15.076
31.243,15.170
31.245,15.268
31.252,15.463
31.262,15.556
31.332,15.001
31.353,15.086
31.360,15.180
31.366,15.276
31.381,15.365
31.397,15.552
31.420,15.134
31.426,14.629
31.428,14.728
31.454,14.809
31.484,14.887
31.505,14.371
31.623,14.387
31.628,14.483
31.643,14.572
31.678,14.646
31.694,14.735
31.713,14.821
31.735,14.904
31.756,14.389
31.763,14.484
31.779,14.773
31.790,14.864
31.828,14.936
31.836,15.030
31.839,15.128
31.845,14.623
31.857,14.715
31.873,14.803
31.882,14.896
31.893,14.988
31.898,15.084
31.899,15.184
31.915,15.272
31.919,15.368
31.962,14.835
31.991,14.913
31.992,15.013
32.000,15.107
32.005,14.603
32.015,14.696
32.117,14.721
32.127,14.814
32.153,14.894
32.156,14.993
32.175,15.078
32.219,15.145
32.223,15.242
32.238,14.730
32.250,14.221
32.298,14.288
32.340,14.357
32.357,14.445
32.364,14.540
32.366,14.039
32.384,14.126
32.462,14.171
32.464,14.270
32.483,14.356
32.498,14.445
32.498,14.545
32.501,14.643
32.524,14.227
32.526,13.725
32.526,13.325
32.546,13.412
32.552,13.508
32.560,13.602
32.568,13.697
32.574,13.793
32.575,13.892
32.582,13.987
32.593,14.079
32.603,14.173
32.620,14.260
32.633,14.351
32.636,14.449
32.647,14.541
32.657,14.634
32.666,14.127
32.727,13.584
32.732,13.681
32.733,13.780
32.737,13.277
32.743,13.373
32.744,13.473
32.745,12.972
32.745,13.072
32.746,13.172
32.766,13.258
32.769,13.356
32.770,13.455
32.803,13.533
32.810,13.628
32.818,13.723
32.821,13.221
32.828,13.316
32.830,13.415
32.839,13.509
32.843,13.607
32.852,13.700
32.853,13.199
32.855,12.898
32.867,12.991
32.870,13.088
32.881,13.181
32.892,13.274
32.897,13.371
32.905,13.465
32.920,13.055
32.922,13.254
32.925,13.352
32.935,12.345
32.938,12.444
32.943,12.541
32.943,12.640
32.948,12.737
32.996,12.807
33.020,12.891
33.025,12.988
33.041,13.078
33.064,12.563
33.068,12.060
33.071,12.158
33.113,12.233
33.172,12.297
33.217,12.369
33.235,12.458
33.279,12.531
33.286,12.626
33.333,12.697
33.348,12.787
33.364,12.877
33.394,12.957
33.394,13.057
33.396,13.156
33.405,13.251
33.424,13.338
33.425,13.437
33.429,13.535
33.440,13.627
33.464,13.710
33.471,13.806
33.471,13.306
33.477,13.402
33.486,12.896
33.614,12.914
33.620,13.010
33.635,13.100
33.641,13.196
33.643,13.295
33.658,13.385
33.670,12.877
33.676,12.973
33.706,13.053
33.720,13.144
33.723,13.242
33.729,13.338
33.753,12.822
33.801,12.892
33.827,12.975
33.852,13.059
33.874,13.144
33.876,13.243
33.877,13.342
33.894,13.431
33.901,13.527
33.947,13.596
33.955,13.690
33.957,13.788
33.962,13.885
33.975,13.976
34.004,14.056
34.082,13.501
34.093,13.593
34.095,13.692
34.103,13.787
34.107,13.884
34.120,13.975
34.122,13.473
34.124,13.573
34.127,13.670
34.142,13.160
34.159,12.648
34.182,12.734
34.202,12.822
34.221,12.909
34.238,12.998
34.246,12.593
34.267,12.680
34.277,12.774
34.311,12.852
34.314,12.350
34.322,12.445
34.348,11.929
34.385,12.007
34.402,12.097
34.426,12.182
34.438,12.275
34.464,12.359
34.506,12.433
34.531,12.517
34.569,12.594
34.573,12.691
34.628,12.756
34.630,12.855
34.640,12.948
34.740,12.984
34.790,13.052
34.797,13.147
34.820,13.232
34.871,13.298
34.908,13.474
34.942,12.950
